site,t_s,C_ugL
A,-420,0.02379
A,-390,0.02379
A,-360,0.02379
A,-330,0.02379
A,-300,0.03965
A,-270,0.02379
A,-240,0.02379
A,-210,0.00793
A,-180,0.02379
A,-150,0.00793
A,-120,-0.02379
A,-90,-0.03965
A,-60,-0.11895
A,-30,-0.03965
A,0,-0.10309
A,30,-0.13481
A,60,-0.10309
A,90,-0.11895
A,120,-0.13481
A,150,-0.13481
A,180,-0.13481
A,210,-0.13481
A,240,-0.13481
A,270,-0.13481
A,300,-0.13481
A,330,-0.13481
A,360,-0.13481
A,390,-0.13481
A,420,-0.03965
A,450,0.78507
A,480,7.54143
A,510,30.74461
A,540,71.25105
A,570,120.70253
A,600,161.68477
A,630,180.90709
A,660,179.08319
A,690,162.81083
A,720,141.51085
A,750,118.03805
A,780,96.88081
A,810,78.43563
A,840,62.98799
A,870,51.53707
A,900,41.14877
A,930,34.13865
A,960,27.73121
A,990,23.25869
A,1020,19.67433
A,1050,16.59749
A,1080,14.44053
A,1110,12.50561
A,1140,10.66585
A,1170,9.46049
A,1200,8.27099
A,1230,7.39869
A,1260,6.58983
A,1290,5.89199
A,1320,5.32103
A,1350,4.79765
A,1380,4.36943
A,1410,3.98879
A,1440,3.63987
A,1470,3.35439
A,1500,3.08477
A,1530,2.87859
A,1560,2.64069
A,1590,2.43451
A,1620,2.32349
A,1650,2.13317
A,1680,2.00629
A,1710,1.87941
A,1740,1.76839
A,1770,1.60979
A,1800,1.59393
A,1830,1.45119
A,1860,1.37189
A,1890,1.29259
A,1920,1.26087
A,1950,1.13399
A,1980,1.13399
A,2010,1.03883
A,2040,0.97539
A,2070,0.97539
A,2100,0.94367
A,2130,0.84851
A,2160,0.81679
A,2190,0.81679
A,2220,0.80093
A,2250,0.65819
A,2280,0.65819
A,2310,0.65819
A,2340,0.65819
A,2370,0.61061
A,2400,0.54717
A,2430,0.51545
A,2460,0.49959
A,2490,0.49959
A,2520,0.49959
A,2550,0.49959
A,2580,0.49959
B,-510,1.14458
B,-480,1.05483
B,-450,1.18048
B,-420,0.74968
B,-390,-0.05807
B,-360,-0.25552
B,-330,-0.29142
B,-300,-0.38117
B,-270,-0.41707
B,-240,-0.39912
B,-210,-0.39912
B,-180,-0.39912
B,-150,-0.32732
B,-120,-0.30937
B,-90,-0.27347
B,-60,-0.34527
B,-30,-0.27347
B,0,-0.27347
B,30,-0.25552
B,60,-0.27347
B,90,-0.27347
B,120,-0.27347
B,150,-0.25552
B,180,-0.25552
B,210,-0.25552
B,240,-0.25552
B,270,-0.25552
B,300,-0.25552
B,330,-0.25552
B,360,1.59333
B,390,37.38563
B,420,137.92358
B,450,246.89803
B,480,297.84013
B,510,273.01528
B,540,214.10338
B,570,154.02473
B,600,103.62113
B,630,76.06788
B,660,46.55808
B,690,35.05213
B,720,23.72568
B,750,19.41768
B,780,13.87113
B,810,11.14273
B,840,9.13233
B,870,7.22963
B,900,6.45778
B,930,5.45258
B,960,4.73458
B,990,4.14223
B,1020,3.78323
B,1050,3.20883
B,1080,2.92163
B,1110,2.63443
B,1140,2.41903
B,1170,2.25748
B,1200,2.02413
B,1230,1.84463
B,1260,1.71898
B,1290,1.53948
B,1320,1.37793
B,1350,1.35998
B,1380,1.23433
B,1410,1.18048
B,1440,1.07278
B,1470,1.00098
B,1500,1.00098
B,1530,0.85738
B,1560,0.85738
B,1590,0.82148
B,1620,0.80353
B,1650,0.69583
B,1680,0.67788
B,1710,0.64198
B,1740,0.62403
B,1770,0.58813
B,1800,0.49838
B,1830,0.46248
B,1860,0.46248
B,1890,0.46248
B,1920,0.46248
B,1950,0.40863
B,1980,0.30093
C,-510,0.80026
C,-480,0.02286
C,-450,-0.02199
C,-420,-0.03694
C,-390,-0.05189
C,-360,-0.06684
C,-330,-0.02199
C,-300,-0.06684
C,-270,-0.02199
C,-240,-0.05189
C,-210,-0.08179
C,-180,-0.05189
C,-150,-0.11169
C,-120,-0.08179
C,-90,-0.08179
C,-60,-0.02199
C,-30,-0.05189
C,0,-0.09674
C,30,-0.14159
C,60,-0.08179
C,90,-0.11169
C,120,-0.11169
C,150,-0.11169
C,180,-0.12664
C,210,-0.08179
C,240,-0.06684
C,270,-0.12664
C,300,-0.06684
C,330,-0.06684
C,360,0.00791
C,390,3.04276
C,420,31.17866
C,450,109.90536
C,480,197.64691
C,510,256.37051
C,540,258.16451
C,570,226.53031
C,600,183.66866
C,630,139.80536
C,660,106.33231
C,690,76.77616
C,720,56.29466
C,750,42.34631
C,780,32.32981
C,810,24.80996
C,840,19.63726
C,870,16.00441
C,900,12.90976
C,930,10.78686
C,960,9.15731
C,990,7.84171
C,1020,6.82511
C,1050,6.04771
C,1080,5.31516
C,1110,4.77696
C,1140,4.28361
C,1170,3.89491
C,1200,3.50621
C,1230,3.26701
C,1260,2.99791
C,1290,2.72881
C,1320,2.54941
C,1350,2.38496
C,1380,2.25041
C,1410,2.10091
C,1440,1.95141
C,1470,1.81686
C,1500,1.78696
C,1530,1.65241
C,1560,1.50291
C,1590,1.50291
C,1620,1.35341
C,1650,1.35341
C,1680,1.21886
C,1710,1.20391
C,1740,1.18896
C,1770,1.05441
C,1800,1.05441
C,1830,1.05441
C,1860,0.96471
C,1890,0.90491
C,1920,0.90491
C,1950,0.90491
C,1980,0.84511
C,2010,0.75541
C,2040,0.75541
C,2070,0.75541
C,2100,0.75541
C,2130,0.71056
C,2160,0.72551
C,2190,0.60591
C,2220,0.60591
C,2250,0.60591
C,2280,0.60591
C,2310,0.60591
C,2340,0.59096
C,2370,0.53116
C,2400,0.56106
C,2430,0.47136
C,2460,0.45641
C,2490,0.45641
C,2520,0.45641
C,2550,0.45641
D,-480,0
D,-450,0
D,-420,0
D,-390,0
D,-360,0
D,-330,0
D,-300,0
D,-270,0
D,-240,0
D,-210,0
D,-180,0
D,-150,0
D,-120,0
D,-90,0
D,-60,0
D,-30,0
D,0,0
D,30,-0.0154
D,60,0
D,90,0
D,120,0
D,150,0
D,180,0
D,210,0
D,240,0
D,270,0
D,300,0
D,330,0
D,360,0
D,390,0
D,420,1.3706
D,450,18.6032
D,480,80.7576
D,510,174.5282
D,540,239.6086
D,570,246.7696
D,600,214.3064
D,630,165.7656
D,660,120.3202
D,690,84.2688
D,720,59.2592
D,750,41.3182
D,780,30.5844
D,810,23.0692
D,840,17.7716
D,870,14.168
D,900,11.4576
D,930,9.4248
D,960,7.9618
D,990,6.8838
D,1020,5.9136
D,1050,5.1898
D,1080,4.62
D,1110,4.1118
D,1140,3.7268
D,1170,3.3418
D,1200,3.0646
D,1230,2.7566
D,1260,2.5872
D,1290,2.3562
D,1320,2.156
D,1350,2.0174
D,1380,1.8634
D,1410,1.7402
D,1440,1.6786
D,1470,1.54
D,1500,1.4168
D,1530,1.386
D,1560,1.232
D,1590,1.232
D,1620,1.155
D,1650,1.078
D,1680,1.0626
D,1710,0.9394
D,1740,0.924
D,1770,0.924
D,1800,0.8624
D,1830,0.77
D,1860,0.77
D,1890,0.77
D,1920,0.77
D,1950,0.693
D,1980,0.616
D,2010,0.616
D,2040,0.616
D,2070,0.616
D,2100,0.6006
D,2130,0.5698
D,2160,0.4774
D,2190,0.5082
D,2220,0.462
D,2250,0.462
D,2280,0.462
D,2310,0.462
D,2340,0.462
D,2370,0.462
D,2400,0.4466
D,2430,0.462
D,2460,0.4312
D,2490,0.385
D,2520,0.3388
D,2550,0.3234
D,2580,0.3234
D,2610,0.3234
D,2640,0.308
D,2670,0.308
